epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,4795.56,0.83578,0.59749,1.06594,0.94448,0.89898,0.95209,0.73006,0.91283,0.54021,1.17457,0.00185064,0.00185064,0.00185064
108,4837.71,0.83328,0.60067,1.06323,0.92805,0.91757,0.95624,0.73203,0.92717,0.53875,1.17764,0.00184789,0.00184789,0.00184789
109,4880.74,0.81693,0.58105,1.05765,0.91721,0.92326,0.9576,0.73433,0.93863,0.52639,1.19239,0.00184511,0.00184511,0.00184511
110,4923.19,0.82473,0.59426,1.0626,0.9329,0.90426,0.95372,0.73238,0.94858,0.53962,1.19797,0.0018423,0.0018423,0.0018423
111,4965.48,0.81934,0.58385,1.05881,0.9273,0.90734,0.95357,0.72908,0.94958,0.5451,1.20289,0.00183948,0.00183948,0.00183948
112,5008.72,0.81585,0.5883,1.05985,0.93063,0.89983,0.95201,0.72967,0.96069,0.54507,1.21705,0.00183663,0.00183663,0.00183663
113,5051.09,0.83184,0.59481,1.06725,0.94053,0.90002,0.95,0.72965,0.95171,0.53527,1.21927,0.00183376,0.00183376,0.00183376
114,5093.33,0.81206,0.58493,1.05571,0.9265,0.89676,0.95089,0.72913,0.94629,0.535,1.20892,0.00183086,0.00183086,0.00183086
115,5135.9,0.8235,0.58479,1.06283,0.9264,0.89431,0.9483,0.72595,0.93806,0.54095,1.20401,0.00182795,0.00182795,0.00182795
116,5178.01,0.82257,0.58883,1.05638,0.94383,0.88803,0.94592,0.72417,0.94282,0.55609,1.21514,0.00182501,0.00182501,0.00182501
117,5220.58,0.81395,0.58279,1.05288,0.9327,0.90138,0.94646,0.72951,0.95077,0.5506,1.23471,0.00182204,0.00182204,0.00182204
118,5263.71,0.8171,0.57815,1.05504,0.93672,0.89634,0.94626,0.72909,0.94524,0.55208,1.22626,0.00181906,0.00181906,0.00181906
119,5306.18,0.81188,0.57851,1.05827,0.93404,0.89431,0.9496,0.72957,0.94517,0.55462,1.22205,0.00181605,0.00181605,0.00181605
120,5348.35,0.82039,0.59054,1.05853,0.93673,0.89431,0.94998,0.73081,0.94298,0.56462,1.21462,0.00181302,0.00181302,0.00181302
121,5390.77,0.80154,0.5706,1.04881,0.93114,0.89837,0.95134,0.72955,0.94232,0.55581,1.20914,0.00180997,0.00180997,0.00180997
122,5433.38,0.80349,0.57115,1.05129,0.93294,0.90041,0.94873,0.72917,0.94556,0.55105,1.21282,0.0018069,0.0018069,0.0018069
123,5476.12,0.81317,0.57106,1.05679,0.92466,0.90447,0.94666,0.73337,0.93243,0.54489,1.20078,0.0018038,0.0018038,0.0018038
124,5519.81,0.80506,0.57285,1.05163,0.91313,0.91667,0.94821,0.73423,0.93354,0.5394,1.19995,0.00180069,0.00180069,0.00180069
125,5563.34,0.80812,0.57086,1.04492,0.91661,0.90447,0.9463,0.73229,0.93993,0.53784,1.20869,0.00179755,0.00179755,0.00179755
126,5606.61,0.80259,0.57903,1.05112,0.92954,0.89228,0.9459,0.72978,0.94771,0.53992,1.22294,0.00179439,0.00179439,0.00179439
127,5649.06,0.79844,0.56333,1.04152,0.93333,0.89024,0.94356,0.72916,0.94709,0.54704,1.22622,0.0017912,0.0017912,0.0017912
128,5690.32,0.79332,0.56456,1.04601,0.92958,0.89024,0.9473,0.73384,0.94735,0.54666,1.22249,0.001788,0.001788,0.001788
129,5732.32,0.79953,0.57417,1.04967,0.92226,0.89837,0.9479,0.7323,0.9523,0.54361,1.22423,0.00178477,0.00178477,0.00178477
130,5773.93,0.79218,0.55772,1.03883,0.92858,0.89846,0.94513,0.73175,0.96404,0.53615,1.24647,0.00178153,0.00178153,0.00178153
131,5815.5,0.78657,0.55522,1.04067,0.93154,0.89228,0.9453,0.73216,0.96002,0.53096,1.24511,0.00177826,0.00177826,0.00177826
132,5857.57,0.79778,0.56237,1.04541,0.92034,0.91583,0.94624,0.7338,0.95398,0.53224,1.23214,0.00177497,0.00177497,0.00177497
133,5899.46,0.80137,0.56516,1.04302,0.92129,0.91667,0.94972,0.73272,0.95412,0.54513,1.23031,0.00177166,0.00177166,0.00177166
134,5941.4,0.79223,0.562,1.03693,0.91931,0.91463,0.9493,0.73272,0.95138,0.54625,1.22738,0.00176833,0.00176833,0.00176833
135,5983.15,0.78698,0.55212,1.04426,0.90798,0.92254,0.94952,0.73139,0.95459,0.55195,1.23038,0.00176498,0.00176498,0.00176498
136,6024.88,0.79914,0.55851,1.04943,0.90812,0.92411,0.9484,0.73187,0.94583,0.55035,1.22762,0.0017616,0.0017616,0.0017616
137,6066.8,0.79114,0.55718,1.03947,0.91139,0.92073,0.94829,0.73166,0.94509,0.54628,1.22467,0.00175821,0.00175821,0.00175821
138,6108.21,0.79463,0.56246,1.04382,0.91421,0.92073,0.94784,0.73473,0.94634,0.54948,1.2235,0.0017548,0.0017548,0.0017548
139,6150.03,0.78466,0.54867,1.03825,0.91453,0.92073,0.94839,0.73384,0.94567,0.54484,1.22514,0.00175136,0.00175136,0.00175136
140,6191.71,0.78369,0.55596,1.0359,0.91782,0.92276,0.94922,0.73381,0.9448,0.54574,1.2304,0.0017479,0.0017479,0.0017479
141,6233.55,0.78909,0.55518,1.04198,0.91704,0.9212,0.94985,0.7353,0.94559,0.54067,1.23448,0.00174443,0.00174443,0.00174443
142,6275.21,0.77504,0.54541,1.03691,0.91509,0.91999,0.95082,0.7346,0.94817,0.54366,1.23888,0.00174093,0.00174093,0.00174093
143,6316.92,0.79415,0.56026,1.04757,0.91505,0.91955,0.95109,0.73586,0.94533,0.54593,1.23756,0.00173742,0.00173742,0.00173742
144,6358.65,0.77957,0.54237,1.03329,0.9141,0.9187,0.94979,0.73616,0.94336,0.54349,1.23463,0.00173388,0.00173388,0.00173388
145,6400.33,0.7924,0.55437,1.04557,0.90972,0.92167,0.94805,0.73668,0.94466,0.5461,1.23613,0.00173032,0.00173032,0.00173032
